"","GOPdelta","all_mortality","unemployment","rural","age","income","poverty","college_grad","percent_white","Pacific","East South Central","West South Central","Mountain","New England","South Atlantic","West North Central","East North Central","Middle Atlantic"
"769",9.13365359752861,4.286,3.4,9,4.81,5.4115,2.46978455070941,17.4,94.9553336836574,0,0,0,0,0,0,1,0,0
"770",3.49861654240378,8.374,5.5,1,3.89,5.5848,2.90611380431319,25.9,77.7625649892346,0,0,0,0,0,1,0,0,0
"771",6.41929391533063,7.31,3.1,4,3.79,4.8579,2.42606975427615,23,88.3066491104199,0,0,0,0,0,0,1,0,0
"772",3.79613182263213,8.33,7.6,6,3.69,3.3673,4.48600695079568,17.5,37.09529906713,0,0,0,1,0,0,0,0,0
"773",5.79426524001339,6.395,2.5,9,4.66,4.8546,2.38675259798329,17.7,96.1022541552314,0,0,0,0,0,0,1,0,0
"774",5.33720358268719,10.512,9.1,6,5.45,2.9432,5.4275579433137,17.6,68.1096532010883,0,0,0,1,0,0,0,0,0
"775",7.1201774436841,11.511,10.1,6,3.88,3.2485,4.88543728164496,8.5,40.5595604678246,0,0,0,0,0,1,0,0,0
"776",9.86892992236615,10.268,5,6,3.89,3.6166,4.42761414991429,13.7,70.5781517843229,0,0,1,0,0,0,0,0,0
"777",10.799986262435,8.222,5.5,7,4.77,4.5043,2.63050622914066,20.7,95.8357748847163,0,0,0,0,0,0,0,1,0
"778",-2.98279928029169,7.493,6.9,1,3.38,7.3115,3.4961503272052,54.6,36.3868057816445,0,0,0,0,0,1,0,0,0
"779",2.19053800924181,8.579,4.8,2,2.98,4.5989,2.68546298096374,14.8,61.655308662733,0,0,1,0,0,0,0,0,0
"780",13.7601619067134,6.721,4,6,4.08,5.3695,1.85842513259894,19.2,92.0087039303686,0,0,0,0,0,0,0,1,0
"781",9.9130801362212,6.576,4.2,6,4.15,4.9217,2.94593612734899,20.5,97.1227583473695,0,0,0,0,0,0,0,1,0
"782",6.53926684123679,7.292,7.1,9,5.07,4.2993,2.6494717914138,26,86.3658500037462,0,0,0,0,0,0,0,1,0
"783",4.39836758263682,7.682,4.8,4,3.81,5.8554,2.40179969992061,26.8,86.5538813308307,0,0,0,0,0,0,0,1,0
"784",2.45966251045658,9.057,7.1,5,3.6,4.188,4.58134696626052,21.8,53.1171585263306,0,1,0,0,0,0,0,0,0
"785",4.62598575815386,10.32,6.2,6,3.78,4.0627,3.91087485545641,15.2,67.5175322022977,0,1,0,0,0,0,0,0,0
"786",2.22633652713786,11.181,10.9,5,3.28,2.652,7.7364369617779,17.5,24.2646545542236,0,1,0,0,0,0,0,0,0
"787",4.61842044808209,9.712,5.6,5,3.64,4.3098,3.44326376247125,21.8,67.8819223948558,0,1,0,0,0,0,0,0,0
"788",6.47245290411894,4.843,2.6,6,2.92,5.4503,2.10512913014876,37.8,91.2484349468412,0,0,0,0,0,0,1,0,0
"789",0.337132993119418,9.788,4.6,2,3.58,6.7482,2.5909714196751,46,56.2820228778325,0,1,0,0,0,0,0,0,0
"790",1.93143734327029,10.095,5.6,6,4.63,3.5922,3.86814113677897,11.8,78.8482264186308,0,0,1,0,0,0,0,0,0
"791",4.17227408529917,7.522,3.7,3,3.93,6.0406,1.87242581053966,23.7,85.9583905375436,0,0,0,0,0,1,0,0,0
"792",2.307638327573,8.246,5.3,2,4.14,4.9532,2.61813813122962,22.8,92.609207577072,0,1,0,0,0,0,0,0,0
"793",13.1204883992087,10.415,7.8,7,4.55,3.6201,4.01574318922575,10.8,94.1184429001906,0,1,0,0,0,0,0,0,0
"794",9.70451102239961,7.933,7.9,8,4.23,3.973,4.56093176869456,10.7,91.1894079995324,0,1,0,0,0,0,0,0,0
"795",2.86745916401499,8.753,6,2,4.26,4.4488,3.90322152989527,24,91.2318706085112,0,1,0,0,0,0,0,0,0
"796",6.75329806462902,9.549,6.6,4,3.64,4.4734,3.43714798916187,13.7,79.0513593326636,0,1,0,0,0,0,0,0,0
"797",16.7249604071089,8.828,5.3,5,4.26,4.5428,3.02973756976369,15.5,92.0711123174269,0,0,0,0,0,0,1,0,0
"798",13.0846279059871,9.29,5.3,4,3.98,4.5615,3.27619559932552,14.7,91.0564101503098,0,0,0,0,0,0,0,1,0
"799",4.09434960604429,6.762,3.7,2,3.65,5.8142,2.17171143675089,31.5,89.3295888759335,0,0,0,0,0,0,1,0,0
"800",13.2311545570832,8.411,4.8,4,4.04,4.9994,2.37327786159091,14.5,86.1760385998259,0,0,0,0,0,0,0,1,0
"801",15.404009467618,7.336,3.7,8,3.98,5.3197,2.10806494543519,13.2,80.2750421435543,0,0,0,0,0,0,1,0,0
"802",18.0658017851777,10.016,7.7,4,3.88,3.7277,4.32754054906264,14.4,94.523985920945,0,0,0,0,0,0,0,1,0
"803",16.7125878969674,7.951,3.5,6,4.41,4.6933,2.88397663497881,14.9,97.8536250143168,0,0,0,0,0,0,1,0,0
"804",12.4993150359403,7.314,4.4,3,3.41,5.2513,2.25952688128178,21.5,93.6125403486943,0,0,0,0,0,0,1,0,0
"805",7.17040415206847,6.455,2,8,3.87,6.4057,1.46564520807385,20.8,96.688221945435,0,0,0,0,0,0,1,0,0
"806",10.4625268915124,8.01,4.8,7,3.32,4.6031,3.11702146391281,26.6,74.574771538746,0,0,0,0,0,0,1,0,0
"807",10.2214468585941,7.436,4.4,6,4.22,5.4304,2.25006639144395,22.4,88.4732382125009,0,0,0,0,0,0,1,0,0
"808",3.96009762027869,6.264,3.6,1,3.71,7.3276,1.42034150068071,27.8,85.1569058777271,0,0,0,0,0,0,1,0,0
"809",13.0924306212984,7.021,6,8,5.17,4.3817,2.76662373412127,15.5,95.1625123115387,0,0,0,0,0,0,1,0,0
