"gop_2016_delta","all_mortality","mortality_delta","unemployment","rural","age","income","poverty","high_school_dropout","high_school_grad","some_college","college_grad","percent_white","percent_latino","percent_black","percent_asian","lat","lon","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
17.1028275112685,7.438,-0.186,3.3,9,4.56,4.587,2.70697490614503,10.2,35.5,33.6,20.8,96.80300335902,0,0,0,40.735334,-94.244251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7448300079725,7.851,0.0599999999999996,4.4,2,4.06,5.1685,2.12370504611794,11.4,36.9,31.1,20.6,94.030170831514,0,2.86136023771895,1.42952089121421,40.053326,-84.228413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.51261693617925,8.028,-0.0350000000000001,3.6,2,3.85,5.2927,2.63760926564049,10.8,34.9,34.1,20.2,89.8078812871997,6.47419035072286,1.90380761523046,0.815549729008338,41.340184,-95.544905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4510761796412,9.09,-0.0860000000000003,8.3,6,4.12,3.8479,4.4535516797737,15.8,43.5,27.8,12.9,97.674814896862,0,0,0,39.089807,-82.028397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2268036922804,7.635,0.165,3.6,7,4.1,5.2861,1.96734632779839,7.1,36.8,31.5,24.6,93.3366835245437,0,0,0,41.684526,-92.522882,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.90105694014848,7.483,0.419,3.3,7,3.94,5.6124,1.53732453650228,8.4,49.1,26.7,15.7,96.7246813759079,0,0,0,40.535333,-84.632059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5359747161749,7.153,0.0769999999999991,3,9,4.76,4.7872,2.51992367269054,7.3,38.9,36.3,17.4,95.0134695251992,0,0,0,42.734033,-94.678279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.2546580750526,9.08,0.523999999999999,5.1,4,3.99,4.3529,3.26887381868032,13.8,42.6,31.3,12.4,89.8600613861626,2.04266702252848,6.88926227419961,0,40.588208,-83.172927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02660159796423,7.501,0.00399999999999956,3.6,2,3.47,6.0436,2.41205528048537,8.2,25.3,30.7,35.8,80.5630089037853,7.31720580569773,7.01899819041695,4.22796060034123,41.684281,-93.56972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.35915498295237,6.98,-0.117999999999999,4,1,4.04,7.0576,1.40558596587562,6.5,32.4,30.3,30.8,95.1396491468904,1.69386436043951,1.61504538668772,1.24428734034582,41.116051,-81.899566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.64628785644372,10.282,-0.507999999999999,7.4,9,4.1,3.8954,3.71287980454905,17.2,42.8,25.2,14.8,75.1866763015726,0,0,0,34.582861,-96.288039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1556326616919,8.518,0.492999999999999,6.3,6,3.54,4.254,3.60333878365882,27.4,33.1,29.8,9.7,33.5390984304287,55.9711683905618,8.28204515809006,0,28.416077,-97.742586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.21466902911591,10.167,0.0280000000000005,7.4,6,3.81,3.4803,4.60996506284339,27.6,41.3,21.7,9.5,66.3752820825058,0,30.0237263401033,0,31.085094,-91.993797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72061828109565,9.715,-0.704000000000001,6.7,2,3.57,4.2033,4.68416700717151,26.2,39.2,24.1,10.5,78.667558950237,1.79850907137089,18.6140862833923,0,30.291497,-92.411037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.24213404124127,9.683,0.524000000000001,6.9,6,3.74,4.212,3.40854162443672,20.6,44,23.7,11.6,71.3680944287652,0,23.6750191009309,0,30.652744,-92.819605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25279547519024,7.844,-0.361000000000001,5,2,3.43,7.4852,2.21287143382564,11.9,34.6,27.5,26,70.4494944124778,4.46740307030464,22.8543688304988,1.38855721479756,30.202946,-90.910023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.82440597618076,9.68,2.364,2.2,9,4.46,4.4023,3.2123024348569,15.6,36.3,28.9,19.1,76.719350704827,0,0,0,36.755276,-102.508734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.94414231843093,8.451,0.0810000000000013,7.8,6,3.89,4.8516,3.29187051108567,27.3,39.5,22.5,10.7,66.6597272821901,0,30.0648832448562,0,29.899884,-91.050528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.41124391323595,7.301,-2.741,5,8,2.54,3.3239,9.29625185289758,13.6,40.4,32.1,13.9,24.2535469753653,0,0,0,44.981666,-101.669224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.64944109557311,6.862,0.437,2.6,7,4.13,4.8991,2.48104755341144,8.2,35.3,29.8,26.7,91.0380109208503,0,0,0,43.006607,-97.388339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15.7013164123735,6.45,-0.21,3.8,9,4.29,5.1569,2.3920884696183,9.5,36.8,37.5,16.1,91.4859883467438,0,0,0,44.715736,-95.862756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.09902174417211,6.298,-0.391000000000001,3.7,1,3.46,7.6407,1.03022127455887,6,28.9,37.8,27.3,94.0392009374408,2.44197720427567,1.42263471825492,1.5025161083776,45.175091,-93.966396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.36453714627123,6.512,-1.045,3.4,1,3.91,9.9671,1.4734035279639,7.6,15.2,22.4,54.9,61.1667578285245,14.897271981403,5.33125940106659,16.8193627786134,38.853183,-77.299025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.45318963601346,9.35,-0.027000000000001,5,2,3.98,4.5718,3.31410737225082,14,36.6,32.6,16.8,88.6993594220142,0,8.40122770262697,0,37.792542,-87.572577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.100638631222,9.275,-0.262,4.8,1,4.06,4.7802,3.53662797468846,18.8,44.6,25.5,11.2,92.8659238842088,0,3.29464135512507,0,38.451561,-85.120079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0843077856147,8.238,-1.389,5.8,9,4.48,4.089,3.26694915254237,19.2,41.2,30.4,9.2,88.3559322033898,0,9.83898305084746,0,36.675916,-88.97202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.72853177750753,10.195,0.57,5.7,5,4.04,4.475,3.55515236981495,15.5,39.5,29.7,15.3,90.0963919653298,0,7.28786888629016,0,37.31107,-87.542196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.32244391974447,9.979,-1.551,8.6,9,3.95,3.0565,6.14799508879106,27.9,43.4,19,9.7,98.5490971161621,0,0,0,37.40332,-84.020686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.85053675397543,8.446,-0.934000000000001,5.9,7,3.62,6.806,1.85269818948849,16.1,37.4,32.8,13.7,68.1654655182516,23.4264955762583,0,0,41.407914,-118.127591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.61128582834982,7.246,0.349,6,9,4.24,6.5459,1.9037177314861,8.9,35.8,33.1,22.2,82.1489086016147,0,0,0,39.977788,-116.272208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.15731899802606,8.251,-0.221000000000002,4.3,3,3.51,4.7679,3.4585060255155,15.8,30.4,25.6,28.3,69.1465632108599,14.4097056073734,11.7411052790436,0,39.173869,-78.176356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.55905091349722,8.019,1.008,6.2,8,3.99,5.1788,2.63745572154628,9.9,32.1,37.7,20.3,87.2593562297859,0,0,0,37.634605,-114.863037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.19652170520578,7.927,0.89,6.5,7,3.71,7.6713,2.14276103336921,19,37.5,35.9,7.6,71.2156889128095,20.4150968783638,0,0,39.90021,-117.04724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.8717365100978,9.67,-0.0939999999999994,5.7,1,4,3.9682,3.81754836796719,23.8,43.3,22.4,10.6,91.9011967416998,0,5.20125521978701,0,35.802396,-87.467114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.56507909284663,8.553,-0.221,9.4,4,4.09,5.1934,2.77988570720602,15.1,30.2,38.2,16.6,78.3161171423704,13.8440631243128,1.59436898917471,1.94049960508587,39.022214,-119.197417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.4314211529865,7.975,-0.130000000000001,6.4,6,4.17,4.58,3.0136200927607,11.3,42,32.9,13.9,94.5390998831303,2.9052032723504,1.36237679071511,0,43.487902,-83.436618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.91668207949216,7.856,-0.263999999999999,6.9,7,4.79,4.0855,2.98163422960951,10.7,31.8,37,20.6,93.2193675396845,3.41398988262852,0,0,44.703427,-117.691933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.3801916193883,8.597,0.280000000000001,5.4,4,4.03,5.0807,2.42327782038112,9,36.6,38.6,15.7,95.3163659514129,2.44903274347807,0,0,42.951545,-84.146352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60416598935745,8.992,1.659,6,8,4.18,4.9378,2.28126531278924,14.9,51.1,20.9,13.1,97.1048619807263,0,0,0,39.91075,-78.122617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
